x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
26,2,NA,2,3,NA,100,NA,1,1,3,4,0.33333,0,0,0,0,NA,0
3,NA,1,2,NA,51,100,NA,1.063,NA,6,8,0.08333,0,0,0,NA,NA,0
3,2,NA,2,4,51,NA,0.146,NA,1,6,8,0.08333,0,0,0,0,NA,0
14,2,1,2,NA,NA,100,0.198,1,1,6,4,0.41667,0.08333,0,0,NA,0,0
14,2,0,NA,NA,NA,NA,0.112,1,1,6,4,0.5,0,0,0,0,NA,0
16,NA,0,2,4,NA,100,NA,1,1,6,4,0.41667,0.08333,0,0,NA,NA,0
16,2,0,NA,4,46,NA,0.14,1,1,6,4,0.5,0,0,0,0,NA,0
16,2,0,2,4,46,100,NA,1,NA,6,4,0.5,0,0,0,0,0,0
14,NA,NA,NA,3,35,100,0.106,NA,1,6,4,0.41667,0.08333,0,0,0,0,0
14,2,0,2,3,NA,100,0.106,1,1,6,4,0.41667,0.08333,0,0,NA,0,0
14,NA,NA,2,3,35,100,NA,1,1,6,4,0.41667,0.08333,0,0,0,NA,0
14,2,1,2,3,NA,NA,NA,NA,NA,6,4,0.5,0,0,0,NA,0,0
14,2,1,2,3,NA,100,0.106,1,1,6,4,0.5,0,0,0,0,NA,0
11,NA,NA,2,3,NA,100,NA,1,1,5,1,0.66667,0.08333,0,0,NA,NA,0
11,2,1,NA,3,NA,100,NA,NA,1,6,4,0.66667,0.08333,0,0,0,NA,0
11,2,1,2,3,45,100,0.082,1,1,6,1,0.66667,0.08333,0,0,0,0,0
11,2,0,2,NA,NA,NA,0.082,1,1,6,1,0.66667,0.08333,0,0,NA,NA,0
11,NA,0,2,NA,45,NA,NA,1,NA,6,1,0.75,0,0,0,NA,0,0
11,NA,NA,2,NA,NA,NA,0.082,1,1,6,1,0.75,0,0,0,0,NA,0
11,NA,0,NA,3,NA,100,0.082,NA,1,6,4,0.75,0,0,0,NA,NA,0
11,NA,0,NA,3,45,NA,NA,1,1,6,1,0.75,0,0,0,NA,NA,0
11,2,0,2,3,NA,100,0.082,1,1,6,1,0.75,0,0,0,0,0,0
10,2,NA,2,NA,52,NA,NA,1,1,6,1,0.58333,0.08333,0,0,NA,0,0
10,NA,0,NA,2,52,100,0.021,1,1,5,4,0.66667,0,0,0,0,NA,0
10,NA,0,2,NA,52,100,NA,1,1,5,4,0.66667,0,0,0,NA,NA,0
10,2,0,NA,2,52,100,NA,NA,NA,5,1,0.66667,0,0,0,0,NA,0
9,2,0,2,10,44,100,0.124,1,1,5,4,0,0,0,0,0,0,0
9,NA,NA,2,10,NA,100,0.124,1.154,1,6,4,0,0,0,0,NA,NA,0
9,NA,0,2,10,NA,NA,0.124,1.152,1,5,NA,0,0,0,0,NA,NA,0
9,2,0,2,10,44,100,NA,1.152,1,5,4,0,0,0,0,0,0,0
9,2,0,2,NA,44,100,0.124,1.152,1,6,1,0,0,0,0,0,0,0
9,2,0,2,10,44,100,0.124,1.154,1,6,4,0,0,0,0,NA,NA,0
9,2,0,2,10,44,100,0.124,1,1,6,5,0,0,0,0,NA,0,0
9,2,0,NA,10,NA,100,0.124,1.104,1,5,5,0,0,0,0,NA,0,0
9,2,0,NA,NA,NA,NA,NA,1.157,1,2,4,0,0,0,0,0,NA,0
9,2,NA,NA,10,NA,100,NA,1.157,1,2,4,0,0,0,0,NA,NA,0
7,NA,NA,NA,8,45,NA,0.067,1,1,6,4,0.33333,0.08333,0,0,NA,NA,0
7,2,0,2,NA,45,NA,NA,1,NA,6,4,0.41667,0,0,0,NA,NA,0
5,2,1,2,3,NA,100,0.124,1,1,6,4,0.16667,0.08333,0,0,0,NA,0
5,2,1,2,3,34,100,0.125,1.021,NA,6,4,0.16667,0.08333,0,0,NA,0,0
5,NA,NA,2,3,34,NA,NA,1.02,1,3,4,0.16667,0.08333,0,0,0,NA,0
5,2,1,2,NA,34,100,NA,1.021,1,6,4,0.16667,0.08333,0,0,NA,NA,0
5,2,1,2,3,34,100,0.124,1.02,1,3,4,0.16667,0.08333,0,0,NA,0,0
5,2,1,2,NA,34,NA,NA,1.02,1,3,4,0.16667,0.08333,0,0,0,0,0
5,2,1,2,3,34,NA,0.106,NA,1,6,4,0.25,0,0,0,0,0,0
5,2,NA,2,NA,34,NA,NA,1,NA,6,4,0.25,0,0,0,NA,0,0
5,2,0,NA,3,NA,100,0.106,NA,1,6,4,0.25,0,0,0,NA,NA,0
5,NA,NA,2,NA,34,100,NA,1,1,3,4,0.25,0,0,0,NA,NA,0
5,2,0,NA,3,NA,100,NA,NA,1,3,5,0.25,0,0,0,NA,NA,0
36,2,1,2,3,NA,100,0.195,NA,NA,3,1,0.33333,0.08333,0,0,NA,0,0
36,NA,NA,2,3,45,100,0.195,1,1,3,1,0.33333,0.08333,0,0,NA,NA,0
36,2,NA,NA,3,45,100,0.194,1.135,1,3,1,0.33333,0.08333,0,0,0,NA,0
36,2,1,NA,NA,NA,100,NA,1,1,3,4,0.41667,0,0,0,NA,NA,0
36,2,1,2,NA,NA,100,0.144,1,1,6,4,0.41667,0,0,0,NA,0,0
14,2,1,NA,NA,NA,NA,NA,1,1,6,4,0.41667,0.08333,0,0,NA,0,0
5,2,NA,NA,NA,39,NA,0.162,1,1,6,4,0.25,0.08333,0,0,NA,NA,0
5,2,NA,NA,3,39,100,NA,1,1,6,4,0.25,0.08333,0,0,0,NA,0
5,2,0,NA,3,39,100,0.106,1,1,6,4,0.33333,0,0,0,0,0,0
27,2,0,NA,2,42,NA,NA,1,1,6,8,0.41667,0.08333,0,0,0,NA,0
22,2,1,2,NA,NA,100,0.05,1,1,6,4,0.41667,0.08333,0,0,NA,0,0
21,2,1,2,2,NA,NA,NA,1.079,1,3,4,0.33333,0.08333,0,0,NA,NA,0
6,NA,1,2,NA,57,100,NA,NA,1,6,4,0.16667,0.08333,0,0,0,NA,0
11,NA,1,NA,4,44,100,NA,1.046,1,3,4,0.16667,0.08333,0,0,NA,NA,0
11,2,1,NA,4,NA,100,0.01,1.045,1,3,4,0.25,0,0,0,NA,NA,0
11,2,1,2,4,NA,100,0.01,1.045,1,3,4,0.25,0,0,0,NA,NA,0
11,2,1,2,4,44,100,0.01,1.045,1,3,4,0.25,0,0,0,NA,NA,0
11,2,NA,2,NA,NA,100,0.01,1.045,1,3,4,0.25,0,0,0,0,NA,0
11,2,0,NA,NA,NA,100,0.01,NA,1,3,4,0.25,0,0,0,0,0,0
16,NA,0,2,2,54,100,0.07,1.153,1,3,NA,0,0.08333,0,0,NA,0,0
16,2,NA,NA,2,54,100,NA,1.153,1,3,6,0,0.08333,0,0,NA,0,0
16,2,0,2,2,54,100,0.069,1.155,1,6,6,0,0.08333,0,0,0,NA,0
16,NA,1,2,NA,NA,100,NA,1.153,1,3,6,0,0.08333,0,0,0,NA,0
16,NA,1,NA,NA,54,100,0.092,1.107,1,3,6,0,0,0,0,0,0,0
16,2,NA,2,2,NA,100,0.092,1.107,1,3,6,0,0,0,0,NA,0,0
16,2,1,2,2,54,100,0.092,1.107,1,3,6,0,0,0,0,NA,NA,0
16,2,1,2,2,54,NA,NA,1.107,1,3,6,0,0,0,0,0,NA,0
16,NA,NA,2,2,54,NA,NA,1.107,1,3,6,0,0,0,0,0,0,0
16,NA,NA,2,NA,NA,100,0.092,1.107,1,3,6,0,0,0,0,0,NA,0
16,2,NA,NA,2,NA,NA,0.092,1.107,1,3,6,0,0,0,0,NA,NA,0
16,2,0,2,2,54,100,NA,1.107,1,3,6,0,0,0,0,0,NA,0
16,2,0,2,NA,54,NA,0.092,1.107,1,3,NA,0,0,0,0,0,NA,0
16,2,1,2,NA,54,NA,0.092,NA,1,3,6,0,0,0,0,NA,NA,0
21,2,NA,2,NA,NA,100,0.06,1.068,1,6,5,0.41667,0.08333,0,0,0,0,0
19,NA,1,NA,NA,NA,NA,NA,1.003,1,5,4,0,0.08333,0,0,0,NA,0
19,2,NA,NA,2,NA,100,0.062,1,1,5,4,0.08333,0,0,0,0,0,0
10,2,1,2,2,35,100,0.05,1,1,6,4,0.58333,0.08333,0,0,0,0,0
10,2,0,2,2,35,100,NA,NA,1,6,4,0.58333,0.08333,0,0,0,0,0
10,2,0,NA,2,35,100,NA,NA,1,6,4,0.66667,0,0,0,NA,NA,0
10,2,0,2,NA,35,100,NA,1,1,6,4,0.66667,0,0,0,0,NA,0
10,NA,0,2,2,35,100,0.05,1,1,6,4,0.66667,0,0,0,0,NA,0
10,2,0,NA,NA,NA,100,NA,1,1,6,4,0.66667,0,0,0,0,0,0
10,2,0,2,2,35,100,NA,1,1,6,5,0.66667,0,0,0,0,0,0
8,2,1,NA,NA,NA,100,0.025,1.127,0,5,4,0.5,0.08333,0,0,NA,0,0
8,2,1,2,NA,NA,100,0.025,1.112,0,5,NA,0.58333,0,0,0,NA,NA,0
8,2,NA,2,NA,76,100,NA,1,0,6,4,0.58333,0.08333,0,0,0,0,0
8,2,NA,NA,NA,76,100,0.057,1,0,6,4,0.58333,0.08333,0,0,0,0,0
8,NA,1,2,2,48,100,0.075,1.061,1,5,4,0,0.08333,0,0,0,0,0
8,NA,0,2,2,48,100,NA,1,1,5,NA,0.08333,0,0,0,0,NA,0
4,NA,0,2,NA,40,100,NA,1.162,0,6,4,0.16667,0,0,0,0,0,0
4,2,NA,NA,NA,40,100,0.118,1,0,6,4,0.16667,0,0,0,NA,NA,0
17,2,1,NA,2,52,NA,0.2,1.069,NA,6,NA,0.16667,0,0,0,0,NA,0
17,2,NA,NA,2,NA,NA,NA,1.069,0,6,4,0.16667,0,0,0,0,NA,0
17,2,1,2,NA,52,100,0.2,1,0,6,4,0.16667,0,0,0,NA,NA,0
38,2,NA,2,NA,NA,100,NA,1.376,1,48,5,0,0.33333,1,0,NA,NA,0
3,2,1,NA,8,NA,100,0.124,1.236,1,18,5,0.08333,0.08333,0,0,NA,0,0
3,NA,1,2,8,NA,NA,NA,NA,1,6,5,0.08333,0.08333,0,0,NA,NA,0
3,NA,1,2,8,NA,NA,NA,NA,1,6,5,0.08333,0.08333,0,0,NA,NA,0
3,2,1,NA,NA,NA,100,NA,NA,0,4,5,0.16667,0,0,0,0,NA,0
3,2,1,NA,8,44,100,0.106,1.378,0,4,5,0.16667,0,0,0,NA,NA,0
3,2,0,2,NA,NA,NA,0.106,1.378,0,4,5,0.16667,0,0,0,0,NA,0
3,2,0,2,NA,NA,100,0.106,NA,0,4,5,0.16667,0,0,0,0,0,0
3,NA,0,2,NA,44,NA,NA,1.378,0,4,5,0.16667,0,0,0,0,0,0
3,2,0,2,8,NA,100,0.106,1.385,0,6,5,0.16667,0,0,0,0,NA,0
14,2,0,2,NA,46,100,0.02,1.3,1,12,5,0.5,0.08333,0,0,0,0,0
25,NA,1,2,3,NA,100,NA,1.226,1,12,8,0.08333,0.08333,0,0,0,NA,0
14,2,1,2,NA,41,NA,NA,1.299,1,78,4,0.33333,0.58333,1,0,0.671,NA,0
14,2,1,2,7,41,100,NA,1.299,1,78,4,0.33333,0.58333,1,0,NA,NA,0
14,2,1,2,7,NA,100,0.168,1.299,1,78,4,0.33333,0.58333,1,0,0.671,0,0
14,2,NA,2,7,NA,100,0.168,1.299,1,78,4,0.33333,0.58333,1,0,NA,0,0
14,2,NA,2,7,41,NA,0.168,1.544,1,73,8,0.41667,0.5,1,0,NA,NA,0
14,NA,NA,2,7,NA,100,0.168,1.544,1,73,8,0.41667,0.5,1,0,NA,NA,0
14,2,1,2,7,NA,100,0.168,1.544,1,73,8,0.41667,0.5,1,0,NA,0,0
14,2,1,2,NA,NA,NA,0.168,1.544,1,73,NA,0.41667,0.5,1,0,0.671,0,0
14,2,1,2,NA,NA,100,NA,1.394,1,61,4,0.5,0.41667,1,0,NA,NA,0
14,2,NA,2,NA,NA,NA,NA,1.394,1,61,4,0.5,0.41667,1,0,0.671,NA,0
14,2,0,NA,NA,NA,NA,NA,NA,1,61,4,0.5,0.41667,1,0,NA,NA,0
14,2,0,NA,7,NA,100,0.168,1.394,1,61,4,0.5,0.41667,1,0,0.671,NA,0
14,2,0,2,NA,41,NA,0.168,1.447,1,63,NA,0.5,0.41667,1,0,0.671,NA,0
14,2,NA,NA,NA,41,NA,0.168,1.447,NA,63,8,0.5,0.41667,1,0,NA,NA,0
14,2,1,2,NA,41,NA,NA,NA,1,63,8,0.5,0.41667,1,0,NA,0,0
14,2,1,2,NA,41,NA,NA,1.447,NA,63,8,0.5,0.41667,1,0,NA,0,0
9,NA,1,NA,NA,44,100,NA,1.224,1,6,4,0,0.08333,0,0,NA,0,0
9,NA,1,2,10,44,NA,0.124,1.3,NA,6,5,0,0.08333,0,0,0,NA,0
9,2,1,NA,10,NA,100,0.124,1.204,1,6,1,0,0.08333,0,0,NA,NA,0
9,2,1,NA,10,NA,100,NA,1.3,1,6,5,0,0.08333,0,0,0,NA,0
9,NA,1,2,10,44,100,0.124,1.204,1,6,1,0,0.08333,0,0,NA,NA,0
9,2,0,2,10,44,NA,0.124,1.3,1,6,5,0,0.08333,0,0,0,0,0
9,NA,NA,2,NA,NA,100,0.124,1.3,1,6,5,0,0.08333,0,0,NA,NA,0
9,2,0,NA,10,44,100,NA,1.3,1,6,5,0,0.08333,0,0,0,0,0
9,NA,NA,2,10,44,NA,0.124,1.204,1,6,1,0,0.08333,0,0,0,NA,0
9,NA,NA,2,10,44,100,0.124,1.237,NA,5,5,0,0,0,0,0,NA,0
9,NA,0,2,NA,44,NA,0.124,1.3,1,6,5,0,0,0,0,0,NA,0
9,NA,NA,2,10,NA,NA,0.124,1.3,NA,6,5,0,0,0,0,NA,NA,0
9,2,0,2,NA,44,NA,0.124,1.3,1,6,5,0,0,0,0,0,0,0
36,NA,0,2,3,45,NA,0.144,1.367,1,3,4,0.41667,0,0,0,0,NA,0
35,NA,1,2,NA,63,100,NA,1.267,1,12,6,0,0.08333,0,0,NA,0,0
35,NA,1,2,3,63,100,NA,1.267,1,12,6,0,0.08333,0,0,NA,0,0
35,2,0,NA,3,63,NA,NA,1.3,1,12,5,0,0.08333,0,0,0,NA,0
35,NA,1,2,3,NA,NA,0.033,1.3,1,6,5,0,0.08333,0,0,0,NA,0
35,2,NA,NA,NA,NA,100,0.033,1.3,1,6,5,0,0.08333,0,0,NA,0,0
35,2,NA,NA,3,63,100,NA,NA,1,6,5,0,0.08333,0,0,0,NA,0
5,2,1,2,3,NA,100,NA,1.375,1,6,5,0.25,0.08333,0,0,0,0,0
5,2,1,2,3,NA,100,0.061,1.313,1,6,5,0.33333,0,0,0,NA,NA,0
18,NA,1,2,2,44,NA,0.058,1.448,1,9,5,0.41667,0.08333,0,0,0,0,0
21,2,0,NA,2,NA,100,NA,1.197,0,36,5,0.25,0.25,0,0,0,0,0
17,NA,0,2,2,47,NA,NA,NA,1,44,5,0,0.25,0,0,0,NA,0
17,2,0,2,2,NA,100,NA,1.313,0,6,5,0.16667,0.08333,0,0,NA,0,0
17,NA,NA,2,NA,47,100,NA,1.313,1,6,5,0.25,0,0,0,0,NA,0
10,2,NA,2,NA,NA,100,0.05,1.3,1,6,5,0.58333,0.08333,0,0,NA,0,0
10,2,0,2,NA,35,NA,0.05,1.317,1,6,5,0.58333,0.08333,0,0,NA,0,0
10,2,NA,NA,2,35,100,NA,1.317,NA,6,5,0.66667,0,0,0,NA,0,0
9,2,1,NA,1,50,100,NA,NA,1,36,5,0.16667,0.25,0,0,NA,0,0
7,2,1,2,2,NA,100,NA,1.333,0,12,5,0.08333,0.08333,0,0,NA,0,0
7,2,1,2,1,47,NA,0.072,NA,1,6,5,0.41667,0.08333,0,0,NA,NA,0
7,2,1,2,1,47,NA,NA,1.32,1,6,5,0.5,0,0,0,0,0,0
5,2,1,2,NA,28,NA,0.033,1.5,1,12,5,0.25,0.08333,0,0,NA,NA,0
4,NA,1,2,NA,40,100,0.107,1.2,0,6,4,0.08333,0.08333,0,0,0,NA,0
4,NA,1,NA,NA,48,NA,NA,1.108,1,12,NA,0.16667,0.08333,0,0,0,NA,0
4,2,NA,2,2,48,100,NA,1.491,1,12,5,0.16667,0.08333,0,0,0,0,0
14,2,1,2,2,NA,100,NA,1.224,1,36,5,0.08333,0.25,0,0,0,NA,0
10,2,1,NA,NA,NA,100,0.246,1.06,1,6,8,0.41667,0.08333,0,0,0,0,0
4,2,NA,2,NA,NA,100,NA,NA,0,6,8,0.16667,0.08333,0,0,NA,NA,0
18,2,NA,2,2,44,NA,0.287,2.16,1,66,4,0,0.5,0,0,0,NA,0
7,2,NA,2,3,38,100,0.292,1.371,1,75,5,0,0.5,0,0,0,0,0
5,2,1,2,2,NA,NA,0.305,1.135,1,9,8,0.33333,0.08333,0,0,0,NA,0
6,2,1,2,NA,NA,100,0.391,1,1,12,8,0.33333,0.08333,0,0,0,0,0
13,2,0,2,NA,NA,NA,0.618,NA,NA,6,4,0.33333,0.08333,0,0,0,0,0
13,NA,0,NA,NA,38,100,0.618,1,1,6,4,0.33333,0.08333,0,0,0,NA,0
13,2,0,2,NA,38,NA,NA,1,1,6,4,0.33333,0.08333,0,0,0,0,0
13,2,0,2,NA,NA,NA,0.618,1,1,6,5,0.41667,0,0,0,0,NA,0
13,NA,NA,NA,NA,NA,100,0.618,1,1,6,8,0.33333,0.08333,0,0,NA,NA,0
13,2,0,2,5,38,NA,NA,1.128,1,6,8,0.41667,0,0,0,0,0,0
13,2,NA,2,5,38,100,0.618,1.32,1,6,8,0.41667,0,0,0,0,NA,0
13,2,NA,2,2,NA,100,NA,1.12,1,12,4,0,0.08333,0,0,0,NA,0
9,2,0,NA,NA,NA,100,0.833,1,1,6,4,0.5,0,0,0,NA,NA,0
9,2,NA,2,3,42,NA,0.833,1,1,6,4,0.5,0,0,0,NA,NA,0
9,2,1,NA,3,42,NA,NA,1,1,6,4,0.5,0,0,0,NA,NA,0
9,NA,1,2,3,42,100,0.833,1.129,1,60,5,0.08333,0.41667,0,0,NA,0,1
9,2,0,2,NA,42,NA,0.833,1.294,1,6,5,0.5,0,0,0,0,NA,0
9,2,NA,2,3,NA,100,0.833,NA,1,6,5,0.41667,0.08333,0,0,0,0,0
9,2,1,2,3,42,100,NA,NA,1,6,5,0.5,0,0,0,0,0,0
9,NA,0,2,3,42,100,NA,1.367,1,6,5,0.41667,0.08333,0,0,NA,0,0
9,NA,1,2,3,42,100,NA,NA,1,6,5,0.41667,0.08333,0,0,NA,0,0
5,2,0,2,3,37,NA,0.935,1.074,1,12,4,0,0.08333,0,0,0,0,0
5,2,0,2,3,NA,NA,0.945,1.072,1,12,5,0,0.08333,0,0,NA,0,0
5,2,0,2,NA,40,NA,NA,1.072,1,12,5,0,0.08333,0,0,0,NA,0
5,2,0,2,NA,NA,NA,NA,NA,1,36,5,0.08333,0.25,0,0,0,0,0
14,NA,NA,2,9,32,100,NA,1,1,6,4,0.83333,0,0,0,NA,NA,0
14,NA,1,NA,NA,NA,NA,0.979,1,1,6,4,0.83333,0,0,0,NA,NA,0
14,2,NA,NA,9,NA,NA,0.979,1,1,6,4,0.83333,0,0,0,NA,0,0
14,2,1,NA,9,NA,100,NA,1,1,6,4,0.83333,0,0,0,0,0,0
14,NA,1,2,NA,NA,100,NA,1,1,6,4,0.83333,0,0,0,0,0,0
14,2,0,NA,NA,32,100,NA,NA,1,6,4,0.83333,0,0,0,0,NA,0
14,2,NA,2,NA,NA,100,0.979,1,1,6,4,0.83333,0,0,0,NA,0,0
14,2,NA,2,9,NA,100,NA,NA,NA,6,NA,0.83333,0,0,0,0,0,0
14,2,0,NA,NA,32,100,NA,1,NA,6,4,0.83333,0,0,0,NA,0,0
14,2,0,NA,9,NA,NA,NA,NA,1,6,4,0.83333,0,0,0,NA,0,0
14,2,0,2,9,32,NA,NA,1,1,6,4,0.83333,0,0,0,0,NA,0
14,2,0,2,9,32,100,0.979,1,NA,6,4,0.83333,0,0,0,0,0,0
14,NA,NA,2,9,NA,100,NA,1,1,6,4,0.83333,0,0,0,0,0,0
14,NA,NA,2,9,NA,NA,0.979,1,1,6,4,0.83333,0,0,0,NA,0,0
14,2,NA,NA,NA,NA,NA,NA,1,1,6,4,0.75,0.08333,0,0,NA,NA,0
14,NA,0,2,9,32,100,NA,1,1,6,4,0.75,0.08333,0,0,NA,NA,0
14,2,NA,NA,NA,32,NA,NA,NA,1,6,4,0.75,0.08333,0,0,0,NA,0
14,2,1,2,NA,NA,100,NA,NA,1,6,4,0.75,0.08333,0,0,NA,0,0
14,2,0,2,NA,NA,NA,0.979,1,NA,6,4,0.75,0.08333,0,0,0,NA,0
14,NA,1,2,9,NA,NA,0.979,1,1,6,4,0.75,0.08333,0,0,NA,NA,0
